物件名,路線,最寄駅,距離,住所,築年数,賃料,部屋数,プラン,面積,管理費,敷金,礼金
地下鉄烏丸線 今出川駅 7階建 築11年,地下鉄烏丸線,鞍馬口駅,14.0,京都府京都市上京区寺之内竪町,11,8,1,LDK,41.7,6000,8,20
地下鉄烏丸線 今出川駅 7階建 築11年,地下鉄烏丸線,鞍馬口駅,14.0,京都府京都市上京区寺之内竪町,11,8,1,LDK,41.7,6000,8,18
地下鉄烏丸線 丸太町駅 地下1地上9階建 築17年,地下鉄烏丸線,丸太町駅,10.0,京都府京都市上京区五町目,17,6.8,1,LDK,25.34,7000,,
地下鉄烏丸線 丸太町駅 地下1地上9階建 築17年,地下鉄烏丸線,丸太町駅,10.0,京都府京都市上京区五町目,17,6.8,1,DK,25.34,7000,,
地下鉄烏丸線 丸太町駅 地下1地上9階建 築17年,地下鉄烏丸線,丸太町駅,10.0,京都府京都市上京区五町目,17,9.9,1,LDK,33.84,7000,,
京福電鉄北野線 北野白梅町駅 6階建 築8年,京福電鉄北野線,北野白梅町駅,14.0,京都府京都市上京区革堂前之町,8,5.65,1,K,24.27,7000,7,10
京福電鉄北野線 北野白梅町駅 6階建 築8年,京福電鉄北野線,北野白梅町駅,14.0,京都府京都市上京区革堂前之町,8,5.85,1,K,24.27,7000,7,10
京福電鉄北野線 北野白梅町駅 6階建 築8年,京福電鉄北野線,北野白梅町駅,14.0,京都府京都市上京区革堂前之町,8,5.9,1,K,24.27,7000,7,10
京福電鉄北野線 北野白梅町駅 6階建 築8年,京福電鉄北野線,北野白梅町駅,14.0,京都府京都市上京区革堂前之町,8,5.95,1,K,26.07,7000,7,10
京福電鉄北野線 北野白梅町駅 6階建 築8年,京福電鉄北野線,北野白梅町駅,14.0,京都府京都市上京区革堂前之町,8,6.3,1,K,25.53,7000,7,10
ベネ・ヴィータ,地下鉄烏丸線,今出川駅,4.0,京都府京都市上京区武者小路町,7,5.9,1,K,22.7,7000,,10
地下鉄烏丸線 今出川駅 4階建 築8年,地下鉄烏丸線,今出川駅,5.0,京都府京都市上京区武者小路町,8,5.9,1,K,22.95,7000,,10
地下鉄烏丸線 丸太町駅 6階建 築13年,地下鉄烏丸線,丸太町駅,13.0,京都府京都市上京区西院町,13,6.1,1,K,23.36,7000,,12.2
地下鉄烏丸線 丸太町駅 6階建 築13年,地下鉄烏丸線,丸太町駅,13.0,京都府京都市上京区西院町,13,6.1,1,K,23,7000,,12.2
地下鉄烏丸線 丸太町駅 6階建 築13年,地下鉄烏丸線,丸太町駅,13.0,京都府京都市上京区西院町,13,6.1,1,K,23,7000,,12.2
地下鉄烏丸線 丸太町駅 6階建 築13年,地下鉄烏丸線,丸太町駅,13.0,京都府京都市上京区西院町,13,6.1,1,K,23,7000,,12.2
地下鉄烏丸線 丸太町駅 6階建 築13年,地下鉄烏丸線,丸太町駅,13.0,京都府京都市上京区西院町,13,6.1,1,K,23,7000,,12.2
地下鉄烏丸線 丸太町駅 6階建 築13年,地下鉄烏丸線,丸太町駅,13.0,京都府京都市上京区西院町,13,6.1,1,K,23.36,7000,,12.2
地下鉄烏丸線 丸太町駅 6階建 築13年,地下鉄烏丸線,丸太町駅,13.0,京都府京都市上京区西院町,13,6.1,1,K,23,7000,,12.2
地下鉄烏丸線 丸太町駅 6階建 築13年,地下鉄烏丸線,丸太町駅,13.0,京都府京都市上京区西院町,13,6.1,1,K,23,7000,,12.2
地下鉄烏丸線 丸太町駅 6階建 築13年,地下鉄烏丸線,丸太町駅,13.0,京都府京都市上京区西院町,13,6.1,1,K,22.01,7000,,12.2
地下鉄烏丸線 丸太町駅 6階建 築13年,地下鉄烏丸線,丸太町駅,13.0,京都府京都市上京区西院町,13,6.1,1,K,22.36,7000,,12.2
地下鉄烏丸線 今出川駅 11階建 築30年,地下鉄烏丸線,今出川駅,7.0,京都府京都市上京区飛鳥井町,30,4.2,1,K,18.2,6000,,
地下鉄烏丸線 今出川駅 11階建 築30年,地下鉄烏丸線,今出川駅,7.0,京都府京都市上京区飛鳥井町,30,4.2,1,K,18,6000,,
地下鉄烏丸線 今出川駅 11階建 築30年,地下鉄烏丸線,今出川駅,7.0,京都府京都市上京区飛鳥井町,30,4.2,1,K,18,6000,,
地下鉄烏丸線 今出川駅 11階建 築30年,地下鉄烏丸線,今出川駅,7.0,京都府京都市上京区飛鳥井町,30,4.2,1,K,18,6000,,
地下鉄烏丸線 今出川駅 11階建 築30年,地下鉄烏丸線,今出川駅,7.0,京都府京都市上京区飛鳥井町,30,4.2,1,R,18.2,6000,,
地下鉄烏丸線 今出川駅 11階建 築30年,地下鉄烏丸線,今出川駅,7.0,京都府京都市上京区飛鳥井町,30,4.2,1,K,18,6000,,
地下鉄烏丸線 今出川駅 11階建 築30年,地下鉄烏丸線,今出川駅,7.0,京都府京都市上京区飛鳥井町,30,4.2,1,K,18,6000,,
地下鉄烏丸線 今出川駅 11階建 築30年,地下鉄烏丸線,今出川駅,7.0,京都府京都市上京区飛鳥井町,30,4.4,1,K,18.2,6000,,
地下鉄烏丸線 今出川駅 11階建 築30年,地下鉄烏丸線,今出川駅,7.0,京都府京都市上京区飛鳥井町,30,4.4,1,K,18,6000,,
地下鉄烏丸線 今出川駅 11階建 築30年,地下鉄烏丸線,今出川駅,7.0,京都府京都市上京区飛鳥井町,30,4.5,1,K,18,6000,,
地下鉄烏丸線 今出川駅 11階建 築30年,地下鉄烏丸線,今出川駅,7.0,京都府京都市上京区飛鳥井町,30,5.4,1,K,18,6000,,
ロフティ智恵光院今出川,地下鉄烏丸線,今出川駅,18.0,京都府京都市上京区五辻町,17,5.3,1,K,22.35,6000,,12
ロフティ智恵光院今出川,地下鉄烏丸線,今出川駅,18.0,京都府京都市上京区五辻町,17,5.8,1,K,31.05,6000,,
京阪鴨東線 出町柳駅 地下1地上7階建 築22年,京阪鴨東線,出町柳駅,6.0,京都府京都市上京区栄町,22,6.3,1,K,25,7000,8,8
京阪鴨東線 出町柳駅 地下1地上7階建 築22年,京阪鴨東線,出町柳駅,6.0,京都府京都市上京区栄町,22,6.8,1,K,27.5,7000,8,8
京阪鴨東線 出町柳駅 地下1地上7階建 築22年,京阪鴨東線,出町柳駅,6.0,京都府京都市上京区栄町,22,7,1,K,26.4,7000,8,8
京阪鴨東線 出町柳駅 地下1地上7階建 築22年,京阪鴨東線,出町柳駅,6.0,京都府京都市上京区栄町,22,7.1,1,K,28,7000,8,8
京阪鴨東線 出町柳駅 地下1地上7階建 築22年,京阪鴨東線,出町柳駅,6.0,京都府京都市上京区栄町,22,7.1,1,K,24.9,7000,8,8
京阪鴨東線 出町柳駅 地下1地上7階建 築22年,京阪鴨東線,出町柳駅,6.0,京都府京都市上京区栄町,22,7.8,1,DK,35,7000,10,10
