物件名,路線,最寄駅,距離,住所,築年数,賃料,部屋数,プラン,面積,管理費,敷金,礼金
ベラジオ雅び四条通2,阪急京都線,大宮駅,6,京都府京都市中京区壬生花井町,2,10.98,1,LDK,39.19,10190,,12
ベラジオ雅び四条通2,阪急京都線,大宮駅,6,京都府京都市中京区壬生花井町,2,10.99,1,LDK,39.19,10190,,12
Ｐｒｉｍｅ三条小川,地下鉄東西線,二条城前駅,5,京都府京都市中京区西堂町,7,7.2,1,K,28.63,6000,7.2,7.2
Ｐｒｉｍｅ三条小川,地下鉄東西線,二条城前駅,5,京都府京都市中京区西堂町,7,7.2,1,K,25.87,6000,7.2,7.2
コクーン三条大宮,阪急京都線,大宮駅,7,京都府京都市中京区三条大宮町,37,4.3,1,R,21.06,6000,,
コクーン三条大宮,阪急京都線,大宮駅,7,京都府京都市中京区三条大宮町,37,7.4,1,LDK,34.59,6000,,
コクーン三条大宮,阪急京都線,大宮駅,7,京都府京都市中京区三条大宮町,37,7.6,1,LDK,34,6000,,
コクーン三条大宮,阪急京都線,大宮駅,7,京都府京都市中京区三条大宮町,37,7.7,1,LDK,45,6000,,
ヴェール柊,地下鉄烏丸線,烏丸御池駅,5,京都府京都市中京区柊町,29,5,1,K,19.21,5000,,5
ヴェール柊,地下鉄烏丸線,烏丸御池駅,5,京都府京都市中京区柊町,29,5,1,K,20.4,5000,,5
ヴェール柊,地下鉄烏丸線,烏丸御池駅,5,京都府京都市中京区柊町,29,5,1,K,20.4,5000,,5
ヴェール柊,地下鉄烏丸線,烏丸御池駅,5,京都府京都市中京区柊町,29,5.2,1,K,19.21,5000,,5.2
ヴェール柊,地下鉄烏丸線,烏丸御池駅,5,京都府京都市中京区柊町,29,5.2,1,K,20.4,5000,,5.2
ヴェール柊,地下鉄烏丸線,烏丸御池駅,5,京都府京都市中京区柊町,29,5.3,1,K,20.4,5000,,5.3
ヴェール柊,地下鉄烏丸線,烏丸御池駅,5,京都府京都市中京区柊町,29,5.3,1,K,21.09,5000,,5.5
Ｗｉｔｈ京Ｇｒａｎｄｅｓ,地下鉄烏丸線,烏丸御池駅,9,京都府京都市中京区三条油小路町,6,14.3,2,LDK,50.24,10000,14.3,20
Ｗｉｔｈ京Ｇｒａｎｄｅｓ,地下鉄烏丸線,烏丸御池駅,9,京都府京都市中京区三条油小路町,6,14,2,LDK,50.24,13000,14,20
Ｗｉｔｈ京Ｇｒａｎｄｅｓ,地下鉄烏丸線,烏丸御池駅,9,京都府京都市中京区三条油小路町,6,14.3,2,LDK,50.24,13000,14.3,20
Ｗｉｔｈ京Ｇｒａｎｄｅｓ,地下鉄烏丸線,烏丸御池駅,9,京都府京都市中京区三条油小路町,6,14.3,2,LDK,50.24,13000,14.3,20
ＶＩＬＬＥＨＥＩＡＮ四条烏丸,地下鉄烏丸線,四条駅,4,京都府京都市中京区一蓮社町,10,20,2,LDK,86.98,20000,,30
ＶＩＬＬＥＨＥＩＡＮ四条烏丸,地下鉄烏丸線,四条駅,4,京都府京都市中京区一蓮社町,10,20,2,LDK,86.98,20000,,30
地下鉄烏丸線 四条駅 6階建 築10年,地下鉄烏丸線,四条駅,4,京都府京都市中京区一蓮社町,10,20,2,LDK,86.98,20000,,30
グランレブリー烏丸御池,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区長浜町,7,7.7,1,K,28.52,8000,,15.4
CERA御池（セラ）,地下鉄東西線,西大路御池駅,3,京都府京都市中京区西ノ京原町,34,4.9,1,LDK,28.78,5000,,
アスヴェル京都壬生EAST,阪急京都線,西院駅,9,京都府京都市中京区壬生下溝町,5,6.45,1,K,23.78,5550,,7.2
アスヴェル京都壬生EAST,阪急京都線,西院駅,9,京都府京都市中京区壬生下溝町,5,6.55,1,K,23.78,5550,,7.1
アスヴェル京都壬生EAST,阪急京都線,西院駅,9,京都府京都市中京区壬生下溝町,5,6.64,1,K,23.78,5550,,7.2
アスヴェル京都壬生EAST,阪急京都線,西院駅,9,京都府京都市中京区壬生下溝町,5,6.65,1,K,23.78,5550,,7.2
アスヴェル京都壬生EAST,阪急京都線,西院駅,9,京都府京都市中京区壬生下溝町,5,6.65,1,K,23.78,5550,,7.2
